,Unnamed: 0,epoch,DFA SGD,Alignment,Alignment_w1
0,0,1,0.5038,0.0651377961039543,0.0336075164377689
1,1,2,0.5006,0.1074417680501937,0.0595983974635601
2,2,3,0.5016,0.1115076541900634,0.0985051766037941
3,3,4,0.5092,0.1395027637481689,0.0601092465221881
4,4,5,0.5241,0.2148891985416412,0.1446830630302429
5,5,6,0.5527,0.235707938671112,0.1091919690370559
6,6,7,0.5711,0.2885305285453796,0.1969298869371414
7,7,8,0.5864,0.3106940388679504,0.2378243654966354
8,8,9,0.6074,0.34159055352211,0.325391560792923
9,9,10,0.6283,0.3603520393371582,0.2785614430904388
10,10,11,0.6374,0.3782967329025268,0.3421362042427063
11,11,12,0.6465,0.3960835933685303,0.3929056227207184
12,12,13,0.6616,0.4010781049728393,0.4241349995136261
13,13,14,0.6552,0.4067306816577911,0.3770140409469604
14,14,15,0.667,0.4168234169483185,0.3858278095722198
15,15,16,0.6695,0.4258583486080169,0.4393694400787353
16,16,17,0.6683,0.4295087456703186,0.4131067991256714
17,17,18,0.6735,0.4324035942554474,0.431097537279129
18,18,19,0.6827,0.4388237297534942,0.4498262405395508
19,19,20,0.6874,0.4418380558490753,0.4753761887550354
20,20,21,0.6847,0.4483170211315155,0.4702271223068237
21,21,22,0.6814,0.4509464800357818,0.4531114995479584
22,22,23,0.6982,0.4573547840118408,0.4510320425033569
23,23,24,0.693,0.4578248858451843,0.5076020359992981
24,24,25,0.6939,0.4633376598358154,0.4984769225120544
25,25,26,0.701,0.4673775434494018,0.4747416973114013
26,26,27,0.702,0.4743548035621643,0.5681277513504028
27,27,28,0.6848,0.475385308265686,0.5350953340530396
28,28,29,0.7008,0.482131689786911,0.5241756439208984
29,29,30,0.7058,0.485856682062149,0.4967094361782074
30,30,31,0.7114,0.4923938512802124,0.565838098526001
31,31,32,0.7097,0.4944510161876678,0.5978402495384216
32,32,33,0.7115,0.5010478496551514,0.5574139356613159
33,33,34,0.7126,0.5040045380592346,0.5587164759635925
34,34,35,0.7143,0.5098918676376343,0.5219193696975708
35,35,36,0.716,0.5142332315444946,0.5791890621185303
36,36,37,0.7202,0.520145833492279,0.5614667534828186
37,37,38,0.7231,0.5240594744682312,0.5926859974861145
38,38,39,0.723,0.528994083404541,0.6075843572616577
39,39,40,0.7241,0.5332905054092407,0.6235119104385376
40,40,41,0.7262,0.5357251167297363,0.6324940323829651
41,41,42,0.7277,0.5408439040184021,0.6007817983627319
42,42,43,0.7352,0.5447143316268921,0.6326895952224731
43,43,44,0.732,0.5489792227745056,0.6083813905715942
44,44,45,0.7286,0.5539588928222656,0.6565066576004028
45,45,46,0.7361,0.5576570630073547,0.6717199683189392
46,46,47,0.7369,0.5620954036712646,0.6626985669136047
47,47,48,0.737,0.565996527671814,0.6521250009536743
48,48,49,0.7349,0.5696801543235779,0.7174795866012573
49,49,50,0.7446,0.5730695724487305,0.6949750781059265
50,50,1,0.502,0.0502692870795726,0.0242300350219011
51,51,2,0.5091,0.0369003154337406,0.0241128969937562
52,52,3,0.5069,0.0453195460140705,0.0109058078378438
53,53,4,0.5171,0.0796931236982345,0.0441897101700305
54,54,5,0.5187,0.1490957289934158,0.0893788784742355
55,55,6,0.5457,0.1904189735651016,0.133948802947998
56,56,7,0.5481,0.2119490206241607,0.2257493138313293
57,57,8,0.58,0.2511859536170959,0.1891427189111709
58,58,9,0.5878,0.2840278148651123,0.2508750557899475
59,59,10,0.601,0.3148862719535827,0.3084845542907715
60,60,11,0.6274,0.339697778224945,0.4275237023830414
61,61,12,0.6464,0.3638079762458801,0.3130431771278381
62,62,13,0.6528,0.3779820203781128,0.4056373834609985
63,63,14,0.6556,0.3915401399135589,0.4087077379226684
64,64,15,0.6594,0.4084824323654175,0.3616324067115783
65,65,16,0.674,0.4202083945274353,0.4366684257984161
66,66,17,0.6713,0.427514374256134,0.4424913227558136
67,67,18,0.6765,0.4334103465080261,0.4595233500003814
68,68,19,0.6812,0.4380058944225311,0.4860088229179382
69,69,20,0.6794,0.4429274797439575,0.4645620286464691
70,70,21,0.6875,0.4484318792819977,0.4540937542915344
71,71,22,0.6811,0.4518755674362182,0.5007554292678833
72,72,23,0.6915,0.4594969749450683,0.4826158285140991
73,73,24,0.6895,0.4638093113899231,0.5234948396682739
74,74,25,0.7013,0.4674147367477417,0.4721995294094085
75,75,26,0.7049,0.4713972210884094,0.4777450859546661
76,76,27,0.701,0.4749090671539306,0.4937779307365417
77,77,28,0.7045,0.4794327318668365,0.5020644068717957
78,78,29,0.7067,0.4860981702804565,0.4862351715564728
79,79,30,0.7052,0.4881457090377807,0.5286495685577393
80,80,31,0.6938,0.4903183579444885,0.4770885407924652
81,81,32,0.708,0.4954364895820617,0.5635002255439758
82,82,33,0.7027,0.501359224319458,0.5233857035636902
83,83,34,0.7106,0.5050819516181946,0.5390913486480713
84,84,35,0.6929,0.5105147361755371,0.5117064118385315
85,85,36,0.7162,0.5127296447753906,0.5840120911598206
86,86,37,0.7101,0.5166299939155579,0.5364660024642944
87,87,38,0.7157,0.5204311609268188,0.5557137727737427
88,88,39,0.7211,0.525020182132721,0.5693122148513794
89,89,40,0.7236,0.5291639566421509,0.5532191395759583
90,90,41,0.7231,0.5337233543395996,0.5894483327865601
91,91,42,0.6928,0.5374739170074463,0.5593829154968262
92,92,43,0.7288,0.5442116856575012,0.5928519368171692
93,93,44,0.7187,0.5465200543403625,0.5705975294113159
94,94,45,0.6989,0.552613377571106,0.5863146781921387
95,95,46,0.7316,0.5551685094833374,0.5779966711997986
96,96,47,0.7343,0.5591162443161011,0.6145651340484619
97,97,48,0.7327,0.561851978302002,0.6608209609985352
98,98,49,0.7307,0.5667240619659424,0.5920001864433289
99,99,50,0.7371,0.5712227821350098,0.603698194026947
100,100,1,0.4932,-0.0648844167590141,-0.05929796397686
101,101,2,0.4984,-0.0131318010389804,0.0181475915014743
102,102,3,0.5064,-0.0088650593534111,0.0329157896339893
103,103,4,0.5121,0.0361254699528217,0.0483598113059997
104,104,5,0.5246,0.0600817464292049,0.0987551212310791
105,105,6,0.545,0.1183994933962822,0.0477972999215126
106,106,7,0.554,0.1748884320259094,0.1974579095840454
107,107,8,0.5669,0.2018951177597046,0.1229487508535385
108,108,9,0.5945,0.2313402742147445,0.2431136071681976
109,109,10,0.6136,0.2582718729972839,0.1881360411643982
110,110,11,0.6165,0.2947377860546112,0.3350467085838318
111,111,12,0.6286,0.3202786445617676,0.2679223120212555
112,112,13,0.6513,0.3321163058280945,0.3807647824287414
113,113,14,0.6634,0.3492468297481537,0.3307930529117584
114,114,15,0.6548,0.3669712245464325,0.3796574175357818
115,115,16,0.6713,0.3786467313766479,0.3615400195121765
116,116,17,0.6742,0.3850423991680145,0.3988717496395111
117,117,18,0.6754,0.3930094540119171,0.3856500685214996
118,118,19,0.6723,0.3981495499610901,0.3645722270011902
119,119,20,0.6766,0.4094956815242767,0.4315271079540252
120,120,21,0.6799,0.4168341159820556,0.4227333068847656
121,121,22,0.6879,0.4232955873012543,0.4260872304439544
122,122,23,0.6859,0.4258327186107635,0.4275582134723663
123,123,24,0.691,0.430157721042633,0.4508726000785827
124,124,25,0.6845,0.433577686548233,0.4663220643997192
125,125,26,0.6933,0.4386468529701233,0.4423232674598694
126,126,27,0.6981,0.4445535540580749,0.462582528591156
127,127,28,0.706,0.4505279660224914,0.4364535808563232
128,128,29,0.7054,0.455426961183548,0.5228593945503235
129,129,30,0.7112,0.4582729935646057,0.469599038362503
130,130,31,0.6821,0.4610205888748169,0.4487324953079223
131,131,32,0.6769,0.4659519791603088,0.5230605602264404
132,132,33,0.6866,0.4754673838615417,0.4815264642238617
133,133,34,0.7113,0.4780471622943878,0.508102536201477
134,134,35,0.7215,0.4829119741916656,0.4882656633853912
135,135,36,0.7123,0.4880408644676208,0.4983587265014648
136,136,37,0.7213,0.4926146864891052,0.5036262273788452
137,137,38,0.7175,0.4960945844650268,0.4876013398170471
138,138,39,0.7108,0.5005437731742859,0.5888094305992126
139,139,40,0.7219,0.5070199966430664,0.5258510708808899
140,140,41,0.7217,0.5107930898666382,0.5856471657752991
141,141,42,0.7169,0.515311062335968,0.5262281894683838
142,142,43,0.7219,0.5187867879867554,0.5310487151145935
143,143,44,0.7242,0.5239410996437073,0.5527200102806091
144,144,45,0.7384,0.5286058187484741,0.578823983669281
145,145,46,0.6733,0.5293108820915222,0.4877638816833496
146,146,47,0.7345,0.5371606945991516,0.5726103782653809
147,147,48,0.6993,0.5429062843322754,0.538285493850708
148,148,49,0.7354,0.5452227592468262,0.5307466387748718
149,149,50,0.7237,0.549225926399231,0.5345175862312317
